constituency,pcon13cd,pcon15cd,first_name,last_name,party,colour,population_all,population_reg,percentage,deviation,
Aberavon,W07000049,W07000049,Stephen,Kinnock,Labour,#DC241f,"66,615",49821,66.63323035,33.36676965,
Aberconwy,W07000058,W07000058,Guto,Bebb,Conservative,#0087DC,"56,796",45525,60.8875336,39.1124664,`
Aldershot,E14000530,E14000530,Gerald,Howarth,Conservative,#0087DC,"105,549",72430,96.87169816,3.128301836,
Aldridge-Brownhills,E14000531,E14000531,Wendy,Morton,Conservative,#0087DC,"77,736",60215,80.53471358,19.46528642,
Altrincham and Sale West,E14000532,E14000532,Graham,Brady,Conservative,#0087DC,"99,607",71511,95.64257914,4.357420856,
Alyn and Deeside,W07000043,W07000043,Mark,Tami,Labour,#DC241f,"83,727",62016,82.94346587,17.05653413,
Amber Valley,E14000533,E14000533,Nigel,Mills,Conservative,#0087DC,"88,941",69510,92.96633632,7.033663684,
Arfon,W07000057,W07000057,Hywel,Williams,Plaid Cymru,#008142,"61,088",40492,54.15613423,45.84386577,
Arundel and South Downs,E14000534,E14000534,Nick,Herbert,Conservative,#0087DC,"98,271",77242,103.3075205,-3.307520496,
Ashfield,E14000535,E14000535,Gloria,De Piero,Labour,#DC241f,"103,934",77091,103.1055651,-3.105565141,
Ashford,E14000536,E14000536,Damian,Green,Conservative,#0087DC,"118,063",85177,113.9202076,-13.92020757,
Ashton-under-Lyne,E14000537,E14000537,Angela,Rayner,Labour,#DC241f,"91,096",68343,91.40552903,8.594470971,
Aylesbury,E14000538,E14000538,David,Lidington,Conservative,#0087DC,"114,834",80315,107.4175126,-7.417512605,
Banbury,E14000539,E14000539,Victoria,Prentis,Conservative,#0087DC,"119,726",86420,115.5826613,-15.58266126,
Barking,E14000540,E14000540,Margaret,Hodge,Labour,#DC241f,"131,105",73977,98.94073747,1.059262529,
Barnsley Central,E14000541,E14000541,Dan,Jarvis,Labour,#DC241f,"88,345",64534,86.31117174,13.68882826,
Barnsley East,E14000542,E14000542,Michael,Dugher,Labour,#DC241f,"93,042",69135,92.46479156,7.535208442,
Barrow and Furness,E14000543,E14000543,John,Woodcock,Labour/Co-operative,#DC241f,"87,399",68338,91.39884177,8.601158234,
Basildon and Billericay,E14000544,E14000544,John,Baron,Conservative,#0087DC,"93,235",66347,88.73597346,11.26402654,
Basingstoke,E14000545,E14000545,Maria,Miller,Conservative,#0087DC,"112,626",79665,106.5481684,-6.548168359,
Bassetlaw,E14000546,E14000546,John,Mann,Labour,#DC241f,"104,926",76796,102.7110166,-2.711016598,
Bath,E14000547,E14000547,Ben,Howlett,Conservative,#0087DC,"92,997",63084,84.37186535,15.62813465,
Batley and Spen,E14000548,E14000548,Jo,Cox,Labour,#DC241f,"110,325",78373,104.8201795,-4.820179486,
Battersea,E14000549,E14000549,Jane,Ellison,Conservative,#0087DC,"110,928",76111,101.7948615,-1.794861507,
Beaconsfield,E14000550,E14000550,Dominic,Grieve,Conservative,#0087DC,"101,314",74726,99.94248953,0.057510466,
Beckenham,E14000551,E14000551,Bob,Stewart,Conservative,#0087DC,"90,613",67439,90.1964718,9.8035282,
Bedford,E14000552,E14000552,Richard,Fuller,Conservative,#0087DC,"103,917",69311,92.70018323,7.299816769,
Bermondsey and Old Southwark,E14000553,E14000553,Neil,Coyle,Labour,#DC241f,"136,812",83298,111.407134,-11.40713397,
Berwick-upon-Tweed,E14000554,E14000554,Anne-Marie,Trevelyan,Conservative,#0087DC,"75,640",56969,76.19334216,23.80665784,
Bethnal Green and Bow,E14000555,E14000555,Rushanara,Ali,Labour,#DC241f,"136,523",82727,110.6434485,-10.64344849,
